K-12,HM43_UR,HM43_UTI,HM43_LB,HM43_mouse,HM56_UTI,HM56_LB,HM56_UR,HM56_mouse,HM86_LB,HM86_UR,HM86_UTI,HM86_mouse
b1691,91.0,2.0,34.0,16.0,1.0,54.0,127.0,22.0,13.0,39.0,2.0,10.0
b3470,389.0,595.0,1868.0,110.0,872.0,572.0,218.0,231.0,584.0,286.0,452.0,315.0
b0961,255.0,318.0,548.0,64.0,595.0,904.0,255.0,133.0,456.0,143.0,310.0,167.0
b3568,6013.0,156.0,552.0,134.0,141.0,504.0,32959.0,374.0,301.0,34681.0,107.0,270.0
b3495,17530.0,2868.0,22531.0,1173.0,1224.0,26076.0,23042.0,4969.0,28595.0,21794.0,861.0,6471.0
b2736,61922.0,227.0,1827.0,309.0,62.0,309.0,487.0,278.0,373.0,539.0,18.0,500.0
b1647,2906.0,196.0,3375.0,106.0,258.0,2591.0,7811.0,686.0,2018.0,4148.0,104.0,547.0
b3341,10169.0,22065.0,74205.0,6698.0,64180.0,223450.0,30106.0,23371.0,168672.0,36213.0,20473.0,28046.0
b0870,4093.0,296.0,5783.0,199.0,601.0,14319.0,15195.0,1292.0,5817.0,8748.0,180.0,944.0
b0990,450.0,1156.0,41.0,740.0,3254.0,160.0,436.0,335.0,137.0,370.0,468.0,195.0
b0554 b1556,58.0,12.0,37.0,20.0,1.0,10.0,2.0,0.0,45.0,152.0,3.0,10.0
b1785,283.0,16.0,213.0,65.0,26.0,189.0,448.0,181.0,264.0,176.0,16.0,204.0
b0906,4517.0,90.0,6412.0,153.0,129.0,2030.0,12726.0,473.0,1311.0,5683.0,98.0,591.0
b2535,4423.0,99.0,13355.0,139.0,83.0,4288.0,13932.0,637.0,2612.0,4919.0,27.0,373.0
b2152,1311.0,310.0,1435.0,281.0,353.0,1185.0,3574.0,255.0,523.0,1638.0,182.0,326.0
b0224,2302.0,1224.0,2530.0,117.0,1200.0,6384.0,4872.0,976.0,3137.0,5231.0,901.0,333.0
b2163,619.0,36.0,719.0,32.0,72.0,1459.0,4253.0,237.0,823.0,3133.0,22.0,179.0
b1652,603.0,465.0,1314.0,150.0,1710.0,1125.0,1703.0,674.0,1916.0,3062.0,739.0,517.0
b0059,3906.0,2595.0,6791.0,1382.0,14190.0,25482.0,12888.0,3950.0,20347.0,7274.0,3929.0,5074.0
b0328,491.0,134.0,617.0,26.0,18.0,1711.0,1087.0,220.0,666.0,1371.0,6.0,190.0
b0527,168.0,7.0,134.0,57.0,28.0,55.0,97.0,31.0,15.0,32.0,11.0,40.0
b2091,195.0,12.0,112.0,22.0,22.0,128.0,235.0,86.0,33.0,382.0,6.0,54.0
b2302,2156.0,12.0,2681.0,20.0,13.0,534.0,3404.0,60.0,145.0,621.0,7.0,34.0
b1982,5099.0,435.0,3877.0,161.0,1498.0,17671.0,43275.0,2556.0,15015.0,32053.0,868.0,2585.0
b1750,65.0,41.0,210.0,29.0,62.0,606.0,68.0,101.0,582.0,45.0,25.0,130.0
b4018,912.0,252.0,2179.0,150.0,822.0,7551.0,6341.0,959.0,4334.0,3889.0,496.0,686.0
b0611,2024.0,319.0,2520.0,113.0,621.0,3246.0,3737.0,465.0,3693.0,4759.0,354.0,766.0
b3580,88.0,24.0,221.0,27.0,36.0,283.0,251.0,86.0,195.0,413.0,10.0,88.0
b2301,3729.0,115.0,3445.0,69.0,78.0,2126.0,9824.0,219.0,2795.0,11719.0,56.0,296.0
b1015,2119.0,761.0,4893.0,300.0,1127.0,14319.0,2608.0,468.0,8370.0,4930.0,678.0,994.0
b1751,253.0,67.0,562.0,37.0,41.0,1028.0,318.0,132.0,966.0,241.0,23.0,181.0
b1531,947.0,519.0,2262.0,1852.0,1912.0,3849.0,5384.0,6949.0,1916.0,2745.0,256.0,1601.0
