,predict,resid,K-12,Gene Name
PROKKA_00522,4.304376809061814,0.9164568146619212,b1013,rutR
PROKKA_00523,0.23822436707680272,0.13145747362048354,b1012,rutA
PROKKA_00524,-0.7657104443978113,0.7657104443978113,b1011,rutB
PROKKA_00525,-1.2453191715416452,1.2453191715416452,b1010,rutC
PROKKA_00526,-0.48917259854436157,1.7080726507104,b1009,rutD
PROKKA_00527,-0.5839993897071356,0.5839993897071356,b1008,rutE
PROKKA_00528,-0.6069643787649609,0.8879335384321005,b1007,rutF
PROKKA_00529,1.5839385840567024,-0.11948383730232992,b1006,rutG
PROKKA_00530,5.383233943524369,-1.8675535337528757,b4518,ymdF
PROKKA_00531,6.662747565729579,-2.1000084237902357,b1004,wrbA
PROKKA_00532,5.896271865701193,-1.5611124150312792,b1003,yccJ
PROKKA_00533,5.491759997912687,-0.7588957517310471,b1002,agp
PROKKA_00534,5.824687367296007,0.199356570934059,b1000,cbpA
PROKKA_00535,5.179115099279941,-1.9002121138686552,b0999,cbpM
PROKKA_00536,5.374494610103179,0.12225392856447836,b0998,torD
PROKKA_00537,5.7880513185443885,0.5720059066015519,b0997,torA
PROKKA_00538,6.450715334039054,1.3398345376149745,b0996,torC
PROKKA_00539,4.291539642392529,-0.012154091069524142,b0995,torR
PROKKA_00540,3.8220853672992012,-0.2181551767816856,b0994,torT
PROKKA_00541,2.447452539587167,-0.32312634194803413,b0993,torS
PROKKA_00542,2.4107903005420805,-1.4181006234720388,b0992,yccM
PROKKA_00543,6.51106114983948,0.43354367847687225,b4517,gnsA
PROKKA_00545,9.090106093931183,0.09023632665231496,b0990,cspG
PROKKA_00546,2.5577134900538474,-0.8129788542047789,b0980,appA
PROKKA_00547,2.8765059505997215,0.021017210610990045,b0979,appB
PROKKA_00548,3.4189073299771158,-2.0123621076129106,b0978,appC
PROKKA_00549,3.369935349874596,-1.0578412514251099,b0977,hyaF
PROKKA_00550,3.6433383389395395,-1.6667547524894712,b0976,hyaE
PROKKA_00551,3.60078662647308,-1.9356882164961828,b0975,hyaD
PROKKA_00552,2.8916371973348447,-1.3294361632929876,b0974,hyaC
PROKKA_00553,1.8956956130866343,-1.7341589964539157,b0973,hyaB
PROKKA_00554,2.2524354623747644,-1.8906510023787506,b0972,hyaA
PROKKA_00556,6.141622513250708,2.187412040265654,b0970,yccA
PROKKA_00557,6.458257444371387,0.35813330696352264,b0969,tusE
PROKKA_00558,5.2800098062906615,-0.9506365093199545,b0968,yccX
PROKKA_00559,5.543549652305387,1.6489052540157028,b0967,rlmI
PROKKA_00560,6.065437857841942,0.015172298096130632,b0966,hspQ
PROKKA_00561,5.754936838903666,0.3621323486466448,b0965,yccU
PROKKA_00562,1.5878101318975824,0.24695699138643823,b0964,yccT
PROKKA_00565,4.952375061550579,0.3153088070596768,b0962,helD
PROKKA_00566,4.281155876781822,1.9806008929735262,b0961,yccF
PROKKA_00567,3.388929171799611,0.9572327791832702,b0960,yccS
PROKKA_00569,5.550704517883626,-0.5948195495421924,b0959,sxy
PROKKA_00570,7.227858422140157,-0.9935077350996098,b0958,sulA
PROKKA_00571,11.47456988846285,0.8897988936297327,b0957,ompA
PROKKA_00572,5.417489643448915,1.2388726113130248,b0956,matP
PROKKA_00573,6.115602642622833,1.379125705601587,b0955,ycbZ
PROKKA_00574,6.02307158476155,1.295645866955197,b0954,fabA
PROKKA_00575,8.480454828349192,-2.115697460771308,b0953,rmf
PROKKA_00576,6.151174548033501,0.5546022827511727,b0952,pqiC
PROKKA_00577,6.909008322516739,0.262235070559127,b0951,pqiB
PROKKA_00578,5.790706243701049,0.030074792514248827,b0950,pqiA
PROKKA_00579,6.79366421222713,0.7116158108068866,b0949,uup
PROKKA_00580,6.776646057434103,-0.024839606092208477,b0948,rlmL
PROKKA_00581,4.7138184577358375,1.783774850055405,b0947,ycbX
PROKKA_00582,6.739898609698098,-0.2579839162034583,b0946,zapC
PROKKA_00583,4.508812383839615,1.445266416749793,b0945,pyrD
PROKKA_00584,1.6739830676018617,-1.2203920836977926,b0937,ssuE
PROKKA_00585,1.5044849734079588,-0.8687010791366429,b0936,ssuA
PROKKA_00586,0.833487834536963,-0.19510166076599,b0935,ssuD
PROKKA_00591,5.381112609403231,0.8502267361117077,b0932,pepN
PROKKA_00592,6.490622180735345,0.20415159367322389,b0931,pncB
PROKKA_00593,7.252774786601254,0.9767551238180161,b0930,asnS
PROKKA_00594,8.924491165004588,3.067803807672224,b0929,ompF
PROKKA_00595,7.342055529782646,1.717301984474883,b0928,aspC
PROKKA_00596,7.145583421482163,0.48615695652725055,b0927,gloC
